Prev Close:,0.85
Ask:,1.06 x 2700
Market Cap:,13.72M
Day's Range:,0.95 - 1.06
P/E (ttm):,N/A
Next Earnings Date:,N/A
1y Target Est:,89.45
Volume:,"21,094"
52wk Range:,0.50 - 1.24
Open:,0.95
Beta:,0.515647
Bid:,1.01 x 1000
Div & Yield:,N/A (N/A) 
EPS (ttm):,-0.77
Avg Vol (3m):,"10,577"
