Beta:,1.57728
Day's Range:,6.90 - 10.07
Prev Close:,6.98
52wk Range:,4.90 - 10.07
P/E (ttm):,N/A
Div & Yield:,N/A (N/A) 
Avg Vol (3m):,"3,637,240"
EPS (ttm):,-0.92
Bid:,9.57 x 300
1y Target Est:,8.81
Volume:,"38,733,030"
Ask:,9.65 x 700
Open:,6.90
Earnings Date:,Nov 3 - Nov 9 (Est.)
Market Cap:,1.87B
