Prev Close:,2.34
Ask:,1.76 x 1500
Market Cap:,14.43M
Day's Range:,1.59 - 2.24
P/E (ttm):,N/A
Next Earnings Date:,N/A
1y Target Est:,2.28
Volume:,"2,645,921"
52wk Range:,0.58 - 3.90
Open:,2.09
Beta:,-0.068061
Bid:,1.65 x 500
Div & Yield:,N/A (N/A) 
EPS (ttm):,-0.37
Avg Vol (3m):,"1,014,960"
