Beta:,N/A
Day's Range:,4.22 - 5.25
Prev Close:,4.24
52wk Range:,1.93 - 19.86
P/E (ttm):,N/A
Div & Yield:,N/A (N/A) 
Avg Vol (3m):,"55,380"
EPS (ttm):,-1.14
Bid:,4.90 x 2000
1y Target Est:,N/A
Volume:,"267,501"
Ask:,5.37 x 100
Open:,4.25
Next Earnings Date:,N/A
Market Cap:,36.55M
