Beta:,1.07278
Day's Range:,1.24 - 1.54
Prev Close:,1.87
52wk Range:,1.24 - 4.00
P/E (ttm):,N/A
Div & Yield:,N/A (N/A) 
Avg Vol (3m):,"364,209"
EPS (ttm):,-0.35
Bid:,1.21 x 1000
1y Target Est:,2.00
Volume:,"3,851,159"
Ask:,1.50 x 10000
Open:,1.36
Earnings Date:,Nov 4 - Nov 9 (Est.)
Market Cap:,107.50M
