Prev Close:,1.08
Ask:,1.48 x 1000
Market Cap:,16.70M
Earnings Date:,Nov 17 - Nov 23 (Est.)
Day's Range:,1.06 - 1.60
P/E (ttm):,N/A
1y Target Est:,2.66
Volume:,"4,713,598"
52wk Range:,0.60 - 34.80
Open:,1.06
Beta:,1.56165
Bid:,1.35 x 300
Div & Yield:,N/A (N/A) 
EPS (ttm):,-7.13
Avg Vol (3m):,"1,029,660"
