Prev Close:,0.37
Ask:,0.55 x 400
Market Cap:,22.06M
Earnings Date:,Nov 9 - Nov 13 (Est.)
Day's Range:,0.39 - 0.47
P/E (ttm):,N/A
1y Target Est:,1.75
Volume:,"597,838"
52wk Range:,0.31 - 2.09
Open:,0.40
Beta:,-3.2353
Bid:,0.43 x 2000
Div & Yield:,N/A (N/A) 
EPS (ttm):,-0.47
Avg Vol (3m):,"225,288"
