Beta:,2.96504
Day's Range:,0.03 - 0.14
Prev Close:,0.14
52wk Range:,0.03 - 2.05
P/E (ttm):,N/A
Div & Yield:,N/A (N/A) 
Avg Vol (3m):,"78,691"
EPS (ttm):,-2.31
Bid:,0.04 x 300
1y Target Est:,6.50
Volume:,"406,212"
Ask:,0.19 x 7500
Open:,0.14
Next Earnings Date:,N/A
Market Cap:,1.34M
